timestamp,side,symbol,instrument_key,strike,qty,entry_price,sl_price,tgt_price,reason,pnl
2025-12-24T09:35:39,BUY,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,77.6,62.08,100.88,ENTRY,0.0
2025-12-24T09:37:19,BUY,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,78.55,62.84,102.11,ENTRY,0.0
2025-12-24T10:12:09,SELL,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,,62.08,100.88,EXIT_TRAIL,-735.0
2025-12-24T10:12:13,SELL,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,,62.84,102.11,EXIT_TRAIL,-840.0
2025-12-24T10:12:42,BUY,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,74.5,59.6,96.85,ENTRY,0.0
2025-12-24T10:12:46,BUY,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,74.9,59.92,97.37,ENTRY,0.0
2025-12-24T10:18:57,BUY,niso-ema-bot,NSE_FO|65647,26250.0 PE 2025-12-30,150,90.7,72.56,117.91,ENTRY,0.0
2025-12-24T10:20:41,BUY,niso-ema-bot,NSE_FO|65647,26250.0 PE 2025-12-30,150,93.15,74.52,121.1,ENTRY,0.0
2025-12-24T11:21:27,SELL,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,,59.92,97.37,EXIT_TRAIL,-427.5
2025-12-24T11:21:52,SELL,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,,59.6,96.85,EXIT_TRAIL,-457.5
2025-12-24T11:22:00,BUY,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,71.15,56.92,92.5,ENTRY,0.0
2025-12-24T11:22:24,BUY,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,71.95,57.56,93.54,ENTRY,0.0
2025-12-24T12:19:01,SELL,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,,56.92,92.5,EXIT_TRAIL,390.0
2025-12-24T12:19:21,SELL,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,,57.56,93.54,EXIT_TRAIL,322.5
