date,time,symbol,side,qty,price,description
2025-12-17,10:32:05,NSE_FO|56990,BUY,131,152.55,ENTRY
2025-12-17,10:34:07,NSE_FO|56994,BUY,154,129.6,ENTRY
2025-12-17,11:33:10,NSE_FO|56990,SELL,131,145.55,EXIT
2025-12-17,11:33:23,NSE_FO|56990,BUY,136,146.3,ENTRY
2025-12-17,12:00:33,NSE_FO|56990,BUY,135,147.35,ENTRY
2025-12-17,12:07:46,NSE_FO|56990,BUY,144,138.4,ENTRY
2025-12-18,09:44:57,NSE_FO|56988,BUY,163,122.2,ENTRY
2025-12-18,10:10:07,NSE_FO|56990,BUY,185,107.9,ENTRY
2025-12-18,10:18:36,NSE_FO|56988,SELL,163,165.1,EXIT
2025-12-18,10:20:13,NSE_FO|56994,BUY,171,116.8,ENTRY
2025-12-18,10:23:51,NSE_FO|56990,SELL,185,153.6,EXIT
2025-12-18,10:27:09,NSE_FO|56990,BUY,142,140.25,ENTRY
